{'loss': 0.0102, 'grad_norm': 0.0016859056195244193, 'learning_rate': 0.0, 'num_tokens': 1160.0, 'completions/mean_length': 2.0, 'completions/min_length': 2.0, 'completions/max_length': 2.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 2.0, 'completions/min_terminated_length': 2.0, 'completions/max_terminated_length': 2.0, 'rewards/reward_func/mean': 0.0, 'rewards/reward_func/std': 0.0, 'reward': 0.0, 'reward_std': 0.0, 'frac_reward_zero_std': 1.0, 'completion_length': 2.0, 'kl': 10.177742958068848, 'epoch': 0.0}
{'loss': 0.0048, 'grad_norm': 0.00022829377849120647, 'learning_rate': 1.0000000000000001e-07, 'num_tokens': 2320.0, 'completions/mean_length': 2.0, 'completions/min_length': 2.0, 'completions/max_length': 2.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 2.0, 'completions/min_terminated_length': 2.0, 'completions/max_terminated_length': 2.0, 'rewards/reward_func/mean': 0.0, 'rewards/reward_func/std': 0.0, 'reward': 0.0, 'reward_std': 0.0, 'frac_reward_zero_std': 1.0, 'completion_length': 2.0, 'kl': 4.768148899078369, 'epoch': 0.01}
{'loss': 0.0032, 'grad_norm': 0.00024355710775125772, 'learning_rate': 2.0000000000000002e-07, 'num_tokens': 3480.0, 'completions/mean_length': 2.0, 'completions/min_length': 2.0, 'completions/max_length': 2.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 2.0, 'completions/min_terminated_length': 2.0, 'completions/max_terminated_length': 2.0, 'rewards/reward_func/mean': 0.0, 'rewards/reward_func/std': 0.0, 'reward': 0.0, 'reward_std': 0.0, 'frac_reward_zero_std': 1.0, 'completion_length': 2.0, 'kl': 3.2180089950561523, 'epoch': 0.01}
{'loss': 0.0065, 'grad_norm': 0.000182209478225559, 'learning_rate': 3.0000000000000004e-07, 'num_tokens': 4640.0, 'completions/mean_length': 2.0, 'completions/min_length': 2.0, 'completions/max_length': 2.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 2.0, 'completions/min_terminated_length': 2.0, 'completions/max_terminated_length': 2.0, 'rewards/reward_func/mean': 0.0, 'rewards/reward_func/std': 0.0, 'reward': 0.0, 'reward_std': 0.0, 'frac_reward_zero_std': 1.0, 'completion_length': 2.0, 'kl': 6.4701995849609375, 'epoch': 0.01}
{'loss': 0.0014, 'grad_norm': 9.508151054382324, 'learning_rate': 4.0000000000000003e-07, 'num_tokens': 5801.0, 'completions/mean_length': 2.25, 'completions/min_length': 2.0, 'completions/max_length': 3.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 2.25, 'completions/min_terminated_length': 2.0, 'completions/max_terminated_length': 3.0, 'rewards/reward_func/mean': 1.5, 'rewards/reward_func/std': 3.0, 'reward': 1.5, 'reward_std': 3.0, 'frac_reward_zero_std': 0.0, 'completion_length': 2.25, 'kl': 1.4319927096366882, 'epoch': 0.01}
{'loss': 0.0034, 'grad_norm': 0.13958735764026642, 'learning_rate': 5.000000000000001e-07, 'num_tokens': 6961.0, 'completions/mean_length': 2.0, 'completions/min_length': 2.0, 'completions/max_length': 2.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 2.0, 'completions/min_terminated_length': 2.0, 'completions/max_terminated_length': 2.0, 'rewards/reward_func/mean': 0.0, 'rewards/reward_func/std': 0.0, 'reward': 0.0, 'reward_std': 0.0, 'frac_reward_zero_std': 1.0, 'completion_length': 2.0, 'kl': 3.423696994781494, 'epoch': 0.02}
{'loss': 0.0011, 'grad_norm': 1.0736031072156038e-05, 'learning_rate': 6.000000000000001e-07, 'num_tokens': 8125.0, 'completions/mean_length': 3.0, 'completions/min_length': 3.0, 'completions/max_length': 3.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 3.0, 'completions/min_terminated_length': 3.0, 'completions/max_terminated_length': 3.0, 'rewards/reward_func/mean': 0.0, 'rewards/reward_func/std': 0.0, 'reward': 0.0, 'reward_std': 0.0, 'frac_reward_zero_std': 1.0, 'completion_length': 3.0, 'kl': 1.119991660118103, 'epoch': 0.02}
{'loss': 0.0036, 'grad_norm': 0.00232447381131351, 'learning_rate': 7.000000000000001e-07, 'num_tokens': 9285.0, 'completions/mean_length': 2.0, 'completions/min_length': 2.0, 'completions/max_length': 2.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 2.0, 'completions/min_terminated_length': 2.0, 'completions/max_terminated_length': 2.0, 'rewards/reward_func/mean': 0.0, 'rewards/reward_func/std': 0.0, 'reward': 0.0, 'reward_std': 0.0, 'frac_reward_zero_std': 1.0, 'completion_length': 2.0, 'kl': 3.58783221244812, 'epoch': 0.02}
{'loss': 0.0079, 'grad_norm': 0.00034416798735037446, 'learning_rate': 8.000000000000001e-07, 'num_tokens': 10449.0, 'completions/mean_length': 3.0, 'completions/min_length': 3.0, 'completions/max_length': 3.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 3.0, 'completions/min_terminated_length': 3.0, 'completions/max_terminated_length': 3.0, 'rewards/reward_func/mean': 1.0, 'rewards/reward_func/std': 0.0, 'reward': 1.0, 'reward_std': 0.0, 'frac_reward_zero_std': 1.0, 'completion_length': 3.0, 'kl': 7.888436794281006, 'epoch': 0.02}
{'loss': 0.005, 'grad_norm': 6.646793190157041e-05, 'learning_rate': 9.000000000000001e-07, 'num_tokens': 11609.0, 'completions/mean_length': 2.0, 'completions/min_length': 2.0, 'completions/max_length': 2.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 2.0, 'completions/min_terminated_length': 2.0, 'completions/max_terminated_length': 2.0, 'rewards/reward_func/mean': 0.0, 'rewards/reward_func/std': 0.0, 'reward': 0.0, 'reward_std': 0.0, 'frac_reward_zero_std': 1.0, 'completion_length': 2.0, 'kl': 4.968451023101807, 'epoch': 0.03}
{'loss': 0.0013, 'grad_norm': 4.5691416517001926e-07, 'learning_rate': 1.0000000000000002e-06, 'num_tokens': 12769.0, 'completions/mean_length': 2.0, 'completions/min_length': 2.0, 'completions/max_length': 2.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 2.0, 'completions/min_terminated_length': 2.0, 'completions/max_terminated_length': 2.0, 'rewards/reward_func/mean': 0.0, 'rewards/reward_func/std': 0.0, 'reward': 0.0, 'reward_std': 0.0, 'frac_reward_zero_std': 1.0, 'completion_length': 2.0, 'kl': 1.3332395553588867, 'epoch': 0.03}
