{'loss': 4.7095, 'grad_norm': 5.5370917320251465, 'learning_rate': 0.0, 'epoch': 0.02}
{'loss': 4.7346, 'grad_norm': 6.607567310333252, 'learning_rate': 4e-05, 'epoch': 0.04}
{'loss': 4.6708, 'grad_norm': 5.7834367752075195, 'learning_rate': 8e-05, 'epoch': 0.06}
{'loss': 4.7514, 'grad_norm': 6.839182376861572, 'learning_rate': 0.00012, 'epoch': 0.08}
{'loss': 3.4831, 'grad_norm': 6.707608699798584, 'learning_rate': 0.00016, 'epoch': 0.1}
{'loss': 2.5531, 'grad_norm': 3.9242076873779297, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 1.7473, 'grad_norm': 2.320584297180176, 'learning_rate': 0.0001995959595959596, 'epoch': 0.14}
{'loss': 2.5035, 'grad_norm': 3.3882482051849365, 'learning_rate': 0.0001991919191919192, 'epoch': 0.16}
{'loss': 1.9568, 'grad_norm': 2.3812453746795654, 'learning_rate': 0.00019878787878787878, 'epoch': 0.18}
{'loss': 1.3217, 'grad_norm': 1.7546733617782593, 'learning_rate': 0.00019838383838383837, 'epoch': 0.2}
{'loss': 1.573, 'grad_norm': 1.8496607542037964, 'learning_rate': 0.000197979797979798, 'epoch': 0.22}
{'loss': 1.2594, 'grad_norm': 1.8475151062011719, 'learning_rate': 0.0001975757575757576, 'epoch': 0.24}
{'loss': 1.7279, 'grad_norm': 2.073225498199463, 'learning_rate': 0.0001971717171717172, 'epoch': 0.26}
{'loss': 1.3491, 'grad_norm': 2.132255792617798, 'learning_rate': 0.00019676767676767677, 'epoch': 0.28}
{'loss': 1.3055, 'grad_norm': 1.5428056716918945, 'learning_rate': 0.00019636363636363636, 'epoch': 0.3}
{'loss': 1.1175, 'grad_norm': 1.5602221488952637, 'learning_rate': 0.00019595959595959596, 'epoch': 0.32}
{'loss': 1.1934, 'grad_norm': 1.7390269041061401, 'learning_rate': 0.00019555555555555556, 'epoch': 0.34}
{'loss': 1.1922, 'grad_norm': 1.9579881429672241, 'learning_rate': 0.00019515151515151516, 'epoch': 0.36}
{'loss': 0.8665, 'grad_norm': 1.651263952255249, 'learning_rate': 0.00019474747474747476, 'epoch': 0.38}
{'loss': 0.7924, 'grad_norm': 1.551210641860962, 'learning_rate': 0.00019434343434343435, 'epoch': 0.4}
{'loss': 1.3724, 'grad_norm': 2.0923409461975098, 'learning_rate': 0.00019393939393939395, 'epoch': 0.42}
{'loss': 1.024, 'grad_norm': 1.8772544860839844, 'learning_rate': 0.00019353535353535355, 'epoch': 0.44}
{'loss': 1.0441, 'grad_norm': 2.2020726203918457, 'learning_rate': 0.00019313131313131315, 'epoch': 0.46}
{'loss': 0.7557, 'grad_norm': 1.4142385721206665, 'learning_rate': 0.00019272727272727274, 'epoch': 0.48}
{'loss': 0.9344, 'grad_norm': 1.6362930536270142, 'learning_rate': 0.00019232323232323232, 'epoch': 0.5}
{'loss': 1.0104, 'grad_norm': 1.777636170387268, 'learning_rate': 0.00019191919191919191, 'epoch': 0.52}
{'loss': 0.8715, 'grad_norm': 1.755232572555542, 'learning_rate': 0.0001915151515151515, 'epoch': 0.54}
{'loss': 0.9918, 'grad_norm': 2.0753347873687744, 'learning_rate': 0.00019111111111111114, 'epoch': 0.56}
{'loss': 0.7247, 'grad_norm': 1.4035067558288574, 'learning_rate': 0.00019070707070707073, 'epoch': 0.58}
{'loss': 0.8148, 'grad_norm': 1.7904199361801147, 'learning_rate': 0.0001903030303030303, 'epoch': 0.6}
{'loss': 0.7636, 'grad_norm': 1.7513887882232666, 'learning_rate': 0.0001898989898989899, 'epoch': 0.62}
{'loss': 0.922, 'grad_norm': 2.1916823387145996, 'learning_rate': 0.0001894949494949495, 'epoch': 0.64}
{'loss': 0.7294, 'grad_norm': 1.5616239309310913, 'learning_rate': 0.0001890909090909091, 'epoch': 0.66}
{'loss': 0.6574, 'grad_norm': 1.7241401672363281, 'learning_rate': 0.0001886868686868687, 'epoch': 0.68}
{'loss': 0.6808, 'grad_norm': 1.4605536460876465, 'learning_rate': 0.0001882828282828283, 'epoch': 0.7}
{'loss': 0.6362, 'grad_norm': 1.7851425409317017, 'learning_rate': 0.0001878787878787879, 'epoch': 0.72}
{'loss': 0.77, 'grad_norm': 1.9403671026229858, 'learning_rate': 0.0001874747474747475, 'epoch': 0.74}
{'loss': 0.8954, 'grad_norm': 2.0246872901916504, 'learning_rate': 0.0001870707070707071, 'epoch': 0.76}
{'loss': 0.7013, 'grad_norm': 2.0829668045043945, 'learning_rate': 0.0001866666666666667, 'epoch': 0.78}
{'loss': 0.8118, 'grad_norm': 1.6098713874816895, 'learning_rate': 0.00018626262626262628, 'epoch': 0.8}
{'loss': 0.8424, 'grad_norm': 1.6504204273223877, 'learning_rate': 0.00018585858585858586, 'epoch': 0.82}
{'loss': 0.7782, 'grad_norm': 1.7126131057739258, 'learning_rate': 0.00018545454545454545, 'epoch': 0.84}
{'loss': 0.748, 'grad_norm': 1.515896201133728, 'learning_rate': 0.00018505050505050505, 'epoch': 0.86}
{'loss': 1.0174, 'grad_norm': 2.118948459625244, 'learning_rate': 0.00018464646464646465, 'epoch': 0.88}
{'loss': 0.8141, 'grad_norm': 1.9826486110687256, 'learning_rate': 0.00018424242424242427, 'epoch': 0.9}
{'loss': 0.5898, 'grad_norm': 1.7958877086639404, 'learning_rate': 0.00018383838383838384, 'epoch': 0.92}
{'loss': 0.5158, 'grad_norm': 1.7974218130111694, 'learning_rate': 0.00018343434343434344, 'epoch': 0.94}
{'loss': 0.8615, 'grad_norm': 2.4460229873657227, 'learning_rate': 0.00018303030303030304, 'epoch': 0.96}
{'loss': 0.835, 'grad_norm': 2.4759256839752197, 'learning_rate': 0.00018262626262626264, 'epoch': 0.98}
{'loss': 0.702, 'grad_norm': 2.3117940425872803, 'learning_rate': 0.00018222222222222224, 'epoch': 1.0}
{'loss': 0.7394, 'grad_norm': 1.662563443183899, 'learning_rate': 0.00018181818181818183, 'epoch': 1.02}
{'loss': 0.5179, 'grad_norm': 2.1544952392578125, 'learning_rate': 0.0001814141414141414, 'epoch': 1.04}
{'loss': 0.4203, 'grad_norm': 1.4962613582611084, 'learning_rate': 0.00018101010101010103, 'epoch': 1.06}
{'loss': 0.4211, 'grad_norm': 1.4011842012405396, 'learning_rate': 0.00018060606060606063, 'epoch': 1.08}
{'loss': 0.665, 'grad_norm': 2.134166955947876, 'learning_rate': 0.00018020202020202023, 'epoch': 1.1}
{'loss': 0.5494, 'grad_norm': 1.951615333557129, 'learning_rate': 0.0001797979797979798, 'epoch': 1.12}
{'loss': 0.5732, 'grad_norm': 1.8759348392486572, 'learning_rate': 0.0001793939393939394, 'epoch': 1.14}
{'loss': 0.5556, 'grad_norm': 2.4667787551879883, 'learning_rate': 0.000178989898989899, 'epoch': 1.16}
{'loss': 0.3786, 'grad_norm': 1.5798109769821167, 'learning_rate': 0.0001785858585858586, 'epoch': 1.18}
{'loss': 0.4397, 'grad_norm': 1.330723762512207, 'learning_rate': 0.0001781818181818182, 'epoch': 1.2}
{'loss': 0.3858, 'grad_norm': 1.41896390914917, 'learning_rate': 0.00017777777777777779, 'epoch': 1.22}
{'loss': 0.3908, 'grad_norm': 1.6055864095687866, 'learning_rate': 0.00017737373737373738, 'epoch': 1.24}
{'loss': 0.3498, 'grad_norm': 1.4952853918075562, 'learning_rate': 0.00017696969696969698, 'epoch': 1.26}
{'loss': 0.3616, 'grad_norm': 1.5970529317855835, 'learning_rate': 0.00017656565656565658, 'epoch': 1.28}
{'loss': 0.396, 'grad_norm': 1.5311260223388672, 'learning_rate': 0.00017616161616161618, 'epoch': 1.3}
{'loss': 0.4303, 'grad_norm': 1.5585949420928955, 'learning_rate': 0.00017575757575757578, 'epoch': 1.32}
{'loss': 0.3164, 'grad_norm': 1.9100435972213745, 'learning_rate': 0.00017535353535353535, 'epoch': 1.34}
{'loss': 0.3144, 'grad_norm': 2.17875599861145, 'learning_rate': 0.00017494949494949494, 'epoch': 1.36}
{'loss': 0.2226, 'grad_norm': 1.238205909729004, 'learning_rate': 0.00017454545454545454, 'epoch': 1.38}
{'loss': 0.3873, 'grad_norm': 2.387291669845581, 'learning_rate': 0.00017414141414141414, 'epoch': 1.4}
{'loss': 0.4644, 'grad_norm': 1.8520835638046265, 'learning_rate': 0.00017373737373737377, 'epoch': 1.42}
{'loss': 0.2789, 'grad_norm': 1.3486323356628418, 'learning_rate': 0.00017333333333333334, 'epoch': 1.44}
{'loss': 0.356, 'grad_norm': 1.7309659719467163, 'learning_rate': 0.00017292929292929293, 'epoch': 1.46}
{'loss': 0.425, 'grad_norm': 1.4814302921295166, 'learning_rate': 0.00017252525252525253, 'epoch': 1.48}
{'loss': 0.2304, 'grad_norm': 1.244800090789795, 'learning_rate': 0.00017212121212121213, 'epoch': 1.5}
{'loss': 0.4938, 'grad_norm': 2.5083653926849365, 'learning_rate': 0.00017171717171717173, 'epoch': 1.52}
{'loss': 0.1224, 'grad_norm': 0.9632154107093811, 'learning_rate': 0.00017131313131313133, 'epoch': 1.54}
{'loss': 0.2736, 'grad_norm': 1.6978117227554321, 'learning_rate': 0.0001709090909090909, 'epoch': 1.56}
{'loss': 0.3596, 'grad_norm': 1.7264163494110107, 'learning_rate': 0.00017050505050505052, 'epoch': 1.58}
{'loss': 0.4132, 'grad_norm': 1.9578430652618408, 'learning_rate': 0.00017010101010101012, 'epoch': 1.6}
{'loss': 0.2486, 'grad_norm': 1.7616279125213623, 'learning_rate': 0.00016969696969696972, 'epoch': 1.62}
{'loss': 0.3383, 'grad_norm': 2.0301265716552734, 'learning_rate': 0.00016929292929292932, 'epoch': 1.64}
{'loss': 0.2093, 'grad_norm': 1.4050830602645874, 'learning_rate': 0.00016888888888888889, 'epoch': 1.66}
{'loss': 0.1651, 'grad_norm': 1.6305495500564575, 'learning_rate': 0.00016848484848484848, 'epoch': 1.68}
{'loss': 0.3031, 'grad_norm': 1.9305033683776855, 'learning_rate': 0.00016808080808080808, 'epoch': 1.7}
{'loss': 0.4668, 'grad_norm': 2.3922080993652344, 'learning_rate': 0.00016767676767676768, 'epoch': 1.72}
{'loss': 0.4939, 'grad_norm': 2.781128168106079, 'learning_rate': 0.00016727272727272728, 'epoch': 1.74}
{'loss': 0.3739, 'grad_norm': 2.0921730995178223, 'learning_rate': 0.00016686868686868688, 'epoch': 1.76}
{'loss': 0.2791, 'grad_norm': 1.2816169261932373, 'learning_rate': 0.00016646464646464647, 'epoch': 1.78}
{'loss': 0.277, 'grad_norm': 1.630782961845398, 'learning_rate': 0.00016606060606060607, 'epoch': 1.8}
{'loss': 0.2626, 'grad_norm': 2.449061155319214, 'learning_rate': 0.00016565656565656567, 'epoch': 1.82}
{'loss': 0.3334, 'grad_norm': 1.767789363861084, 'learning_rate': 0.00016525252525252527, 'epoch': 1.84}
{'loss': 0.2602, 'grad_norm': 1.482049822807312, 'learning_rate': 0.00016484848484848487, 'epoch': 1.86}
{'loss': 0.3233, 'grad_norm': 1.3460205793380737, 'learning_rate': 0.00016444444444444444, 'epoch': 1.88}
{'loss': 0.4927, 'grad_norm': 1.9968657493591309, 'learning_rate': 0.00016404040404040403, 'epoch': 1.9}
{'loss': 0.374, 'grad_norm': 1.9706188440322876, 'learning_rate': 0.00016363636363636366, 'epoch': 1.92}
